id,data,produto,categoria,quantidade,pagamento,preco_unitario
1,2023-07-09,Parafusadeira,Ferramentas,450.0,Pix,429.0
2,2023-11-22,Serrote,Ferramentas,266.0,Débito,64.9
3,2023-02-10,Regador,Jardinagem,184.0,Débito,39.9
4,2023-05-27,Cimento,Construção e Estrutura,491.0,Pix,39.9
5,2023-07-23,Chave de Fenda,Ferramentas,315.0,Transferência Bancária,24.5
6,2023-12-16,Máscara Respiratória,Segurança e EPI,205.0,Débito,29.9
7,2023-11-13,Pá,Jardinagem,389.0,Dinheiro,74.9
8,2023-08-24,Capacete,Segurança e EPI,456.0,Dinheiro,49.9
9,2023-05-11,Disjuntor,Elétrica,418.0,Carteira Digital,45.0
10,2023-03-14,Argamassa,Construção e Estrutura,179.0,Transferência Bancária,24.9
11,2023-02-02,Enxada,Jardinagem,50.0,Transferência Bancária,89.9
12,2023-10-15,Verniz,Tintas e Acabamento,251.0,Boleto,139.9
13,2023-11-08,Registro de Água,Hidráulica,108.0,Dinheiro,54.9
14,2023-10-06,Verniz,Tintas e Acabamento,192.0,Carteira Digital,139.9
15,2023-04-09,Capacete,Segurança e EPI,272.0,Crédito,49.9
16,2023-03-01,Tinta Esmalte,Tintas e Acabamento,242.0,Transferência Bancária,229.0
17,2023-12-02,Lixa,Tintas e Acabamento,129.0,Débito,4.9
18,2023-10-14,Bomba de água,Hidráulica,341.0,Crédito,899.0
19,2023-12-21,Botina,Segurança e EPI,148.0,Carteira Digital,149.0
20,2023-05-11,Registro de Água,Hidráulica,38.0,Carteira Digital,54.9
21,2023-04-25,Alicate,Ferramentas,183.0,Carteira Digital,41.9
22,2023-05-31,Alicate,Ferramentas,394.0,Crédito,41.9
23,2023-08-04,Selador,Tintas e Acabamento,257.0,Transferência Bancária,99.9
24,2023-05-01,Lanterna,Elétrica,286.0,Carteira Digital,59.9
25,2023-06-26,Válvula de Descarga,Hidráulica,3.0,Carteira Digital,119.0
26,2023-09-16,Colete Reflexivo,Segurança e EPI,288.0,Débito,39.9
27,2023-04-18,Interruptor,Elétrica,140.0,Carteira Digital,12.9
28,2023-09-02,Tijolo,Construção e Estrutura,236.0,Carteira Digital,2.0
29,2023-06-18,Argamassa,Construção e Estrutura,179.0,Crédito,24.9
30,2023-07-20,Trena,Ferramentas,210.0,Transferência Bancária,32.0
31,2023-07-24,Capacete,Segurança e EPI,414.0,Carteira Digital,49.9
32,2023-07-13,Registro de Água,Hidráulica,27.0,Transferência Bancária,54.9
33,2023-09-06,Registro de Água,Hidráulica,42.0,Débito,54.9
34,2023-03-22,Mangueira Jardim,Jardinagem,435.0,Débito,69.9
35,2023-04-03,Parafusadeira,Ferramentas,32.0,Crédito,429.0
36,2023-01-24,Alicate,Ferramentas,257.0,Débito,41.9
37,2023-04-28,Tomada,Elétrica,191.0,Transferência Bancária,9.9
38,2023-03-05,Regador,Jardinagem,46.0,Crédito,39.9
39,2023-01-17,Máscara Respiratória,Segurança e EPI,402.0,Débito,29.9
40,2023-03-03,Tinta Acrílica,Tintas e Acabamento,451.0,Carteira Digital,249.0
41,2023-07-29,Cimento,Construção e Estrutura,161.0,Dinheiro,39.9
42,2023-06-10,Lâmpada LED,,176.0,Carteira Digital,14.9
43,2023-01-17,Cano PVC,Hidráulica,314.0,Pix,29.9
44,2023-06-08,Parafusadeira,Ferramentas,492.0,Crédito,429.0
45,2023-11-09,Rolo de Pintura,Tintas e Acabamento,56.0,Transferência Bancária,24.9
46,2023-05-21,Lanterna,Elétrica,409.0,Boleto,59.9
47,2023-02-28,Bloco de Concreto,,312.0,Boleto,6.0
48,2023-08-03,Carrinho de Mão,Jardinagem,226.0,Boleto,359.0
49,2023-12-25,Rolo de Pintura,Tintas e Acabamento,402.0,Carteira Digital,24.9
50,2023-05-08,Óculos de Proteção,Segurança e EPI,437.0,Carteira Digital,24.9
51,2023-03-03,Sementes de Grama,Jardinagem,292.0,Transferência Bancária,19.9
52,2023-05-09,Rolo de Pintura,Tintas e Acabamento,384.0,Boleto,
53,2023-09-21,Tinta Acrílica,Tintas e Acabamento,183.0,Pix,249.0
54,2023-08-28,Martelo,Ferramentas,43.0,Transferência Bancária,79.9
55,2023-08-29,Interruptor,Elétrica,64.0,Carteira Digital,12.9
56,2023-01-31,Massa Corrida,Tintas e Acabamento,249.0,Boleto,89.9
57,2023-06-08,Válvula de Descarga,Hidráulica,40.0,Carteira Digital,119.0
58,2023-09-08,Parafusadeira,Ferramentas,360.0,Boleto,429.0
59,2023-09-17,Disjuntor,Elétrica,132.0,Pix,45.0
60,2023-06-14,Verniz,Tintas e Acabamento,22.0,Dinheiro,139.9
61,2023-02-20,Caixa de água,Hidráulica,139.0,Transferência Bancária,799.0
62,2023-02-16,Cimento,Construção e Estrutura,389.0,Crédito,39.9
63,2023-02-23,Tomada,Elétrica,6.0,Pix,9.9
64,2023-06-09,Argamassa,Construção e Estrutura,28.0,Crédito,24.9
65,2023-04-29,Botina,Segurança e EPI,403.0,Débito,149.0
66,2023-04-10,Pincel,Tintas e Acabamento,486.0,Transferência Bancária,12.9
67,2023-09-02,,Jardinagem,165.0,Carteira Digital,74.9
68,2023-06-09,Verga Metálica,Construção e Estrutura,401.0,Transferência Bancária,119.0
69,2023-01-07,Alicate,Ferramentas,405.0,Transferência Bancária,41.9
70,2023-10-19,Mangueira,Hidráulica,4.0,Pix,59.0
71,2023-07-29,Cimento,Construção e Estrutura,41.0,Crédito,39.9
72,2023-07-28,Colete Reflexivo,Segurança e EPI,428.0,Crédito,39.9
73,2023-11-19,Furadeira,Ferramentas,232.0,Dinheiro,499.9
74,2023-08-18,Mangueira Jardim,Jardinagem,426.0,Transferência Bancária,69.9
75,2023-07-12,Alicate,Ferramentas,201.0,Débito,41.9
76,2023-11-06,Registro de Água,Hidráulica,342.0,Transferência Bancária,54.9
77,2023-04-11,Pá,Jardinagem,,Transferência Bancária,74.9
78,,Parafusadeira,Ferramentas,435.0,Débito,429.0
79,2023-10-30,Serrote,Ferramentas,40.0,Boleto,64.9
80,2023-03-24,Protetor Auricular,Segurança e EPI,298.0,Carteira Digital,9.9
81,2023-01-29,Alicate,Ferramentas,293.0,Débito,41.9
82,2023-11-25,Pá,Jardinagem,442.0,Carteira Digital,74.9
83,2023-11-21,Rolo de Pintura,Tintas e Acabamento,336.0,Débito,24.9
84,2023-11-29,Tomada,Elétrica,324.0,Transferência Bancária,9.9
85,2023-09-28,Registro de Água,Hidráulica,318.0,Transferência Bancária,54.9
86,2023-03-24,Carrinho de Mão,Jardinagem,436.0,Débito,359.0
87,2023-12-22,Mangueira,Hidráulica,101.0,Crédito,59.0
88,2023-02-17,Regador,Jardinagem,275.0,Dinheiro,39.9
89,2023-10-19,Cano PVC,Hidráulica,190.0,Crédito,29.9
90,2023-03-29,Extensão,Elétrica,440.0,Transferência Bancária,39.9
91,2023-12-15,Disjuntor,Elétrica,500.0,Débito,45.0
92,2023-11-10,Máscara Respiratória,Segurança e EPI,325.0,Crédito,29.9
93,2023-03-09,Válvula de Descarga,Hidráulica,22.0,Dinheiro,119.0
94,2023-12-30,Areia,Construção e Estrutura,71.0,Transferência Bancária,14.9
95,2023-05-15,Verniz,Tintas e Acabamento,490.0,Carteira Digital,139.9
96,2023-06-09,Bloco de Concreto,Construção e Estrutura,379.0,Crédito,6.0
97,2023-07-17,Tijolo,Construção e Estrutura,182.0,Dinheiro,2.0
98,2023-07-29,Telha Cerâmica,Construção e Estrutura,426.0,Dinheiro,7.9
99,2023-08-09,Selador,Tintas e Acabamento,109.0,Carteira Digital,99.9
100,2023-07-21,Telha Cerâmica,Construção e Estrutura,227.0,Crédito,7.9
101,2023-05-29,Interruptor,Elétrica,373.0,Dinheiro,12.9
102,2023-05-18,Lanterna,Elétrica,92.0,Carteira Digital,59.9
103,2023-10-04,Fio Elétrico,Elétrica,310.0,Dinheiro,3.5
104,2023-01-24,Botina,Segurança e EPI,498.0,Débito,149.0
105,2023-03-05,Parafusadeira,Ferramentas,96.0,Carteira Digital,429.0
106,2023-06-09,Alicate,Ferramentas,342.0,Débito,41.9
107,2023-06-14,Protetor Auricular,Segurança e EPI,390.0,Dinheiro,9.9
108,2023-04-06,Botina,Segurança e EPI,458.0,Transferência Bancária,149.0
109,2023-07-17,Serrote,Ferramentas,202.0,Crédito,64.9
110,2023-09-29,Argamassa,Construção e Estrutura,328.0,Crédito,24.9
111,2023-01-29,Martelo,Ferramentas,192.0,Dinheiro,79.9
112,2023-08-25,Lâmpada LED,Elétrica,290.0,Débito,14.9
113,2023-10-13,Válvula de Descarga,Hidráulica,467.0,Transferência Bancária,119.0
114,2023-09-15,Pincel,Tintas e Acabamento,393.0,Débito,12.9
115,2023-02-09,,Construção e Estrutura,392.0,Dinheiro,7.9
116,2023-06-23,Óculos de Proteção,Segurança e EPI,206.0,Carteira Digital,24.9
117,2023-06-11,Lâmpada LED,Elétrica,471.0,Boleto,14.9
118,2023-02-19,Caixa de água,Hidráulica,128.0,Boleto,799.0
119,2023-04-12,Massa Corrida,Tintas e Acabamento,468.0,Boleto,89.9
120,2023-01-19,Válvula de Descarga,Hidráulica,189.0,Débito,119.0
121,2023-04-10,Fio Elétrico,Elétrica,126.0,Pix,3.5
122,,Torneira,Hidráulica,431.0,Crédito,79.0
123,2023-01-01,Pilha,Elétrica,,Dinheiro,6.9
124,2023-11-17,Pá,Jardinagem,223.0,Transferência Bancária,74.9
125,2023-07-17,Extensão,Elétrica,312.0,Transferência Bancária,39.9
126,2023-07-21,Furadeira,Ferramentas,173.0,Crédito,499.9
127,2023-11-13,Cano PVC,Hidráulica,98.0,Débito,29.9
128,2023-09-30,Verga Metálica,Construção e Estrutura,45.0,Crédito,119.0
129,2023-02-20,Tomada,Elétrica,7.0,Pix,9.9
130,2023-08-19,Lâmpada LED,Elétrica,441.0,Débito,14.9
131,2023-06-20,Fio Elétrico,Elétrica,176.0,Transferência Bancária,3.5
132,2023-03-25,Luva de Proteção,Segurança e EPI,336.0,Crédito,19.9
133,2023-03-17,Colete Reflexivo,Segurança e EPI,,Débito,39.9
134,2023-04-08,Máscara Respiratória,Segurança e EPI,167.0,Crédito,29.9
135,2023-01-17,Martelo,Ferramentas,21.0,Dinheiro,79.9
136,2023-08-30,Extensão,Elétrica,161.0,Boleto,39.9
137,2023-04-09,Pincel,Tintas e Acabamento,434.0,Débito,12.9
138,2023-12-06,Lanterna,Elétrica,227.0,Dinheiro,59.9
139,2023-10-14,Bloco de Concreto,Construção e Estrutura,44.0,Carteira Digital,6.0
140,2023-02-11,Massa Corrida,Tintas e Acabamento,236.0,Débito,89.9
141,2023-04-22,Cano PVC,Hidráulica,445.0,Dinheiro,29.9
142,2023-11-19,Máscara Respiratória,,495.0,Crédito,29.9
143,2023-02-14,Tesoura de Poda,Jardinagem,331.0,Boleto,59.9
144,2023-02-10,Serrote,Ferramentas,262.0,Crédito,64.9
145,2023-01-22,Rolo de Pintura,Tintas e Acabamento,290.0,Boleto,24.9
146,2023-09-15,Chave de Fenda,Ferramentas,225.0,Dinheiro,24.5
147,2023-08-22,Botina,Segurança e EPI,293.0,Carteira Digital,149.0
148,2023-05-07,Lâmpada LED,Elétrica,184.0,Boleto,14.9
149,2023-07-08,Trena,Ferramentas,117.0,Dinheiro,32.0
150,2023-11-27,Mangueira,Hidráulica,3.0,Débito,59.0
151,2023-11-14,Caixa de água,Hidráulica,4.0,Dinheiro,799.0
152,2023-10-22,Martelo,Ferramentas,3.0,Débito,79.9
153,,Regador,Jardinagem,374.0,Crédito,39.9
154,2023-01-28,Caixa de água,Hidráulica,177.0,Crédito,799.0
155,2023-12-01,Tinta Acrílica,Tintas e Acabamento,8.0,Pix,249.0
156,2023-07-25,Parafusadeira,Ferramentas,269.0,Carteira Digital,429.0
157,2023-12-02,Protetor Auricular,Segurança e EPI,375.0,Boleto,9.9
158,2023-06-11,Disjuntor,Elétrica,66.0,Carteira Digital,45.0
159,2023-10-21,Telha Cerâmica,Construção e Estrutura,,Dinheiro,7.9
160,2023-07-15,Adubo,Jardinagem,313.0,Transferência Bancária,49.9
161,2023-06-02,Colete Reflexivo,Segurança e EPI,12.0,Carteira Digital,39.9
162,2023-03-30,Telha Cerâmica,Construção e Estrutura,268.0,Transferência Bancária,7.9
163,2023-01-14,Bomba de água,Hidráulica,12.0,Transferência Bancária,899.0
164,2023-11-22,Bloco de Concreto,Construção e Estrutura,153.0,Pix,6.0
165,2023-04-01,Torneira,Hidráulica,393.0,Transferência Bancária,79.0
166,2023-07-30,Pincel,Tintas e Acabamento,394.0,Boleto,12.9
167,2023-06-06,Chave de Fenda,Ferramentas,238.0,Dinheiro,24.5
168,2023-12-21,Luva de Proteção,Segurança e EPI,198.0,Carteira Digital,19.9
169,2023-02-12,Torneira,Hidráulica,347.0,Crédito,79.0
170,2023-03-31,Disjuntor,Elétrica,339.0,Crédito,45.0
171,2023-06-13,Torneira,Hidráulica,148.0,Boleto,79.0
172,2023-09-11,Cimento,Construção e Estrutura,325.0,Carteira Digital,39.9
173,2023-11-26,Mangueira,Hidráulica,431.0,,59.0
174,2023-10-26,Tomada,Elétrica,471.0,Boleto,9.9
175,2023-01-26,Válvula de Descarga,Hidráulica,215.0,Boleto,119.0
176,2023-04-20,Registro de Água,Hidráulica,49.0,Dinheiro,54.9
177,2023-10-14,Botina,Segurança e EPI,247.0,Dinheiro,149.0
178,2023-01-29,Adubo,Jardinagem,58.0,Boleto,49.9
179,2023-06-13,Tesoura de Poda,Jardinagem,154.0,Transferência Bancária,59.9
180,2023-10-28,Rolo de Pintura,Tintas e Acabamento,91.0,Boleto,24.9
181,2023-05-22,Argamassa,Construção e Estrutura,284.0,Dinheiro,24.9
182,2023-03-05,Brita,Construção e Estrutura,306.0,Crédito,17.9
183,2023-10-19,Botina,Segurança e EPI,432.0,Dinheiro,149.0
184,2023-04-20,Interruptor,Elétrica,106.0,Transferência Bancária,12.9
185,2023-04-03,Válvula de Descarga,Hidráulica,323.0,Boleto,119.0
186,2023-03-21,Brita,Construção e Estrutura,454.0,Boleto,17.9
187,2023-09-21,Mangueira,Hidráulica,491.0,Dinheiro,59.0
188,2023-06-28,Regador,Jardinagem,75.0,Pix,39.9
189,2023-03-17,Extensão,Elétrica,277.0,Dinheiro,39.9
190,2023-12-14,Extensão,Elétrica,211.0,Transferência Bancária,39.9
191,2023-09-12,Bomba de água,Hidráulica,481.0,Transferência Bancária,899.0
192,2023-07-28,Protetor Auricular,Segurança e EPI,227.0,Pix,9.9
193,2023-12-05,Lixa,Tintas e Acabamento,475.0,Débito,4.9
194,2023-07-01,,Construção e Estrutura,176.0,Boleto,17.9
195,2023-10-18,Tomada,Elétrica,44.0,Débito,9.9
196,2023-06-10,Adubo,Jardinagem,473.0,Débito,49.9
197,2023-04-04,Massa Corrida,Tintas e Acabamento,244.0,Transferência Bancária,89.9
198,2023-10-22,Pincel,Tintas e Acabamento,408.0,Crédito,12.9
199,2023-10-13,Trena,Ferramentas,170.0,Carteira Digital,
200,2023-05-27,Verga Metálica,Construção e Estrutura,96.0,Dinheiro,119.0
201,2023-08-20,Lixadeira,Ferramentas,124.0,Débito,389.0
202,2023-08-03,Mangueira,Hidráulica,248.0,Crédito,59.0
203,2023-09-14,Parafusadeira,Ferramentas,475.0,Pix,429.0
204,2023-02-19,Óculos de Proteção,Segurança e EPI,57.0,Carteira Digital,24.9
205,2023-05-07,Furadeira,Ferramentas,126.0,Transferência Bancária,499.9
206,2023-10-31,Lanterna,Elétrica,115.0,Transferência Bancária,59.9
207,2023-12-09,Selador,Tintas e Acabamento,66.0,Dinheiro,99.9
208,2023-08-29,Capacete,Segurança e EPI,59.0,Débito,49.9
209,2023-04-06,Pilha,Elétrica,358.0,Dinheiro,6.9
210,2023-11-02,Colete Reflexivo,Segurança e EPI,291.0,Crédito,39.9
211,2023-01-25,Lâmpada LED,Elétrica,135.0,Transferência Bancária,14.9
212,2023-11-25,Extensão,Elétrica,2.0,Crédito,39.9
213,2023-05-29,Lanterna,Elétrica,150.0,Pix,59.9
214,2023-06-14,Disjuntor,Elétrica,20.0,Débito,45.0
215,2023-11-27,Pilha,Elétrica,299.0,Dinheiro,6.9
216,2023-02-27,Lixadeira,Ferramentas,485.0,Carteira Digital,389.0
217,2023-11-25,Tesoura de Poda,Jardinagem,344.0,Transferência Bancária,59.9
218,2023-07-07,Rolo de Pintura,Tintas e Acabamento,235.0,Crédito,24.9
219,2023-01-23,Telha Cerâmica,Construção e Estrutura,262.0,Boleto,7.9
220,2023-10-14,Conexão T,Hidráulica,141.0,Débito,7.9
221,2023-08-27,Tesoura de Poda,Jardinagem,486.0,Pix,59.9
222,2023-09-20,Cano PVC,Hidráulica,143.0,Débito,29.9
223,2023-06-28,Disjuntor,Elétrica,463.0,Transferência Bancária,45.0
224,2023-07-08,Protetor Auricular,Segurança e EPI,22.0,Crédito,9.9
225,2023-09-30,Luva de Proteção,Segurança e EPI,227.0,Débito,19.9
226,2023-12-16,Luva de Proteção,Segurança e EPI,68.0,Carteira Digital,19.9
227,,Colete Reflexivo,Segurança e EPI,196.0,Crédito,39.9
228,2023-01-16,Luva de Proteção,Segurança e EPI,467.0,Pix,19.9
229,2023-07-12,Carrinho de Mão,Jardinagem,205.0,Dinheiro,359.0
230,2023-05-29,Lixa,Tintas e Acabamento,69.0,Boleto,4.9
231,2023-11-26,Óculos de Proteção,Segurança e EPI,120.0,Boleto,24.9
232,2023-05-22,Capacete,Segurança e EPI,71.0,Dinheiro,49.9
