ID,Data,Produto,Categoria,Quantidade,Preço,Pagamento
1,2023-07-09,Smartphone,Móveis de Escritório,2.0,1942.25,Dinheiro
2,2023-11-22,Smartphone,Acessórios,6.0,1401.37,
3,2023-02-10,Cadeira Gamer,Informática,6.0,1752.5,Crédito
4,2023-05-27,Mouse,Móveis de Escritório,5.0,4088.28,Débito
5,2023-07-23,Mouse,,7.0,4937.01,Débito
6,2023-12-16,Monitor,Periféricos,5.0,3523.33,Débito
7,2023-11-13,Monitor,Informática,6.0,315.46,Débito
8,,Cadeira Gamer,Informática,2.0,4368.79,Débito
9,2023-05-11,Smartphone,Acessórios,,1650.46,Débito
10,2023-03-14,Mouse,Informática,6.0,4855.65,Débito
11,2023-02-02,Smartphone,Periféricos,,362.78,Boleto
12,,Mouse,Acessórios,2.0,3862.72,Débito
13,2023-11-08,Teclado,Informática,6.0,716.75,Crédito
14,2023-10-06,Cadeira Gamer,Acessórios,1.0,161.58,
15,2023-04-09,Cadeira Gamer,,9.0,4180.54,Débito
16,2023-03-01,Smartphone,Informática,3.0,244.79,Débito
17,2023-12-02,Notebook,Periféricos,1.0,2292.1,Pix
18,2023-10-14,Monitor,Acessórios,5.0,76.89,Pix
19,2023-12-21,Teclado,Móveis de Escritório,5.0,208.28,Boleto
20,2023-05-11,Fone de Ouvido,Periféricos,3.0,2560.65,Pix
21,2023-04-25,Fone de Ouvido,Periféricos,6.0,2093.43,Pix
22,2023-05-31,Impressora,Acessórios,9.0,2471.53,Boleto
23,,Smartphone,Informática,1.0,3443.46,Dinheiro
24,2023-05-01,Notebook,Informática,8.0,763.66,Boleto
25,2023-06-26,Fone de Ouvido,Periféricos,3.0,2533.61,Crédito
26,2023-09-16,Mouse,Informática,7.0,764.98,Boleto
27,2023-04-18,Cadeira Gamer,Periféricos,9.0,4682.33,Dinheiro
28,2023-09-02,Teclado,Informática,6.0,2964.4,Crédito
29,,Teclado,Acessórios,3.0,158.15,Crédito
30,2023-07-20,Mouse,Informática,3.0,3215.42,Crédito
31,2023-07-24,Smartphone,Móveis de Escritório,4.0,484.7,Pix
32,2023-07-13,Fone de Ouvido,Acessórios,1.0,,Boleto
33,2023-09-06,Mouse,Acessórios,4.0,3305.27,Boleto
34,2023-03-22,,Móveis de Escritório,2.0,3728.98,Crédito
35,2023-04-03,Mouse,,8.0,2619.02,Boleto
36,2023-01-24,Cadeira Gamer,Móveis de Escritório,7.0,1517.13,Dinheiro
37,2023-04-28,Notebook,Móveis de Escritório,5.0,1154.8,Dinheiro
38,2023-03-05,Impressora,Móveis de Escritório,8.0,4002.54,Boleto
39,2023-01-17,Fone de Ouvido,Periféricos,5.0,1504.67,Débito
40,2023-03-03,Smartphone,Acessórios,1.0,1611.38,Dinheiro
41,2023-07-29,Mouse,Informática,1.0,3685.2,Dinheiro
42,2023-06-10,Notebook,Informática,5.0,378.06,Crédito
43,2023-01-17,Cadeira Gamer,Acessórios,5.0,2148.34,Boleto
44,2023-06-08,Smartphone,Móveis de Escritório,5.0,3095.4,Débito
45,2023-11-09,Teclado,Acessórios,4.0,4761.89,Crédito
46,2023-05-21,Cadeira Gamer,Móveis de Escritório,,3204.43,Pix
47,2023-02-28,Notebook,Periféricos,1.0,1189.99,Dinheiro
48,2023-08-03,Cadeira Gamer,Informática,6.0,956.9,Pix
49,2023-12-25,Smartphone,Informática,3.0,4177.63,Pix
50,2023-05-08,Smartphone,Periféricos,1.0,1180.61,
51,,Cadeira Gamer,Acessórios,3.0,1381.06,Boleto
52,2023-05-09,Monitor,Informática,9.0,3315.51,Crédito
53,2023-09-21,Teclado,Periféricos,1.0,1725.35,Boleto
54,2023-08-28,Cadeira Gamer,Móveis de Escritório,8.0,,Débito
55,,Impressora,Periféricos,5.0,4664.85,Boleto
56,2023-01-31,Mouse,Acessórios,6.0,2235.65,Dinheiro
57,2023-06-08,Cadeira Gamer,Acessórios,2.0,4896.2,
58,2023-09-08,Notebook,Móveis de Escritório,9.0,4852.42,Boleto
59,2023-09-17,Cadeira Gamer,Periféricos,1.0,1771.49,Dinheiro
60,,Cadeira Gamer,Móveis de Escritório,4.0,84.45,Dinheiro
61,2023-02-20,Teclado,Móveis de Escritório,5.0,862.77,Dinheiro
62,2023-02-16,Fone de Ouvido,Acessórios,2.0,2898.45,Boleto
63,2023-02-23,Mouse,Acessórios,3.0,499.16,Dinheiro
64,2023-06-09,Monitor,Acessórios,7.0,236.77,Boleto
65,2023-04-29,Fone de Ouvido,Móveis de Escritório,5.0,1845.94,Dinheiro
66,2023-04-10,Teclado,Informática,9.0,1789.17,Dinheiro
67,2023-09-02,Mouse,Periféricos,5.0,2650.18,Dinheiro
68,2023-06-09,Fone de Ouvido,Informática,4.0,1442.7,Crédito
69,2023-01-07,Monitor,Acessórios,9.0,2238.87,Pix
70,2023-10-19,Notebook,Móveis de Escritório,6.0,3095.52,Pix
71,2023-07-29,Monitor,Periféricos,5.0,889.59,Pix
72,2023-07-28,Teclado,,6.0,766.23,Boleto
73,2023-11-19,Mouse,Acessórios,7.0,3831.25,Boleto
74,2023-08-18,Notebook,Móveis de Escritório,,3333.88,Boleto
75,2023-07-12,Teclado,Periféricos,8.0,3369.77,Débito
76,2023-11-06,Cadeira Gamer,Acessórios,5.0,4847.18,Pix
77,2023-04-11,Smartphone,Acessórios,9.0,3012.72,Pix
78,2023-03-11,Notebook,Móveis de Escritório,7.0,4705.15,Crédito
79,2023-10-30,Fone de Ouvido,Móveis de Escritório,5.0,4471.23,Crédito
80,2023-03-24,Fone de Ouvido,Periféricos,1.0,4439.75,Crédito
81,2023-01-29,Mouse,Acessórios,6.0,2134.41,Pix
82,,Cadeira Gamer,Acessórios,3.0,91.48,Pix
83,2023-11-21,Smartphone,,2.0,4930.5,Pix
84,2023-11-29,Monitor,,8.0,2504.35,Pix
85,2023-09-28,Smartphone,Periféricos,3.0,4303.36,Dinheiro
86,2023-03-24,Cadeira Gamer,Móveis de Escritório,5.0,2793.84,Dinheiro
87,2023-12-22,Teclado,Informática,7.0,4473.8,Débito
88,,Fone de Ouvido,Acessórios,8.0,444.86,Débito
89,2023-10-19,Teclado,Acessórios,1.0,4605.85,Pix
90,2023-03-29,Monitor,Informática,4.0,368.3,Pix
91,2023-12-15,Mouse,Periféricos,9.0,4052.63,Débito
92,2023-11-10,Fone de Ouvido,Periféricos,3.0,3041.49,Débito
93,2023-03-09,Cadeira Gamer,,2.0,142.22,Pix
94,2023-12-30,Teclado,Informática,3.0,230.27,Boleto
95,2023-05-15,Monitor,Acessórios,2.0,1824.15,Crédito
96,2023-06-09,,Móveis de Escritório,5.0,1735.33,Boleto
97,2023-07-17,Impressora,Periféricos,1.0,4218.21,Boleto
98,2023-07-29,Smartphone,,,1267.32,Débito
99,2023-08-09,Mouse,Acessórios,7.0,1411.75,Débito
100,2023-07-21,Fone de Ouvido,Móveis de Escritório,,2093.6,Dinheiro
101,2023-05-29,Smartphone,Periféricos,4.0,2486.81,Pix
102,2023-05-18,Monitor,Móveis de Escritório,,3685.84,Boleto
103,2023-10-04,Mouse,,2.0,886.84,Boleto
104,2023-01-24,Monitor,Móveis de Escritório,,2100.26,Débito
105,2023-03-05,Teclado,Informática,9.0,,
106,2023-06-09,Fone de Ouvido,Acessórios,9.0,3555.96,Boleto
107,2023-06-14,Smartphone,Periféricos,8.0,3058.29,Pix
108,2023-04-06,,Acessórios,3.0,1902.74,Boleto
109,2023-07-17,Fone de Ouvido,Acessórios,4.0,3264.08,Pix
110,2023-09-29,Fone de Ouvido,Acessórios,7.0,142.97,Boleto
111,2023-01-29,Smartphone,Informática,4.0,1497.43,Crédito
112,2023-08-25,Smartphone,Acessórios,4.0,4606.57,Crédito
113,2023-10-13,Cadeira Gamer,Móveis de Escritório,5.0,3579.67,Boleto
114,2023-09-15,Cadeira Gamer,Acessórios,6.0,51.33,Boleto
115,2023-02-09,Smartphone,Informática,4.0,2405.6,Débito
116,2023-06-23,Mouse,Acessórios,3.0,3222.21,Débito
117,2023-06-11,Notebook,Periféricos,2.0,2602.16,Pix
118,2023-02-19,Cadeira Gamer,Móveis de Escritório,5.0,4541.18,Pix
119,2023-04-12,Fone de Ouvido,Periféricos,9.0,112.98,Dinheiro
120,2023-01-19,Impressora,Periféricos,8.0,2850.99,Crédito
121,2023-04-10,Cadeira Gamer,Informática,6.0,,Crédito
122,2023-02-24,Teclado,Acessórios,8.0,,Pix
123,2023-01-01,Monitor,Informática,8.0,3832.42,Crédito
124,2023-11-17,Fone de Ouvido,Informática,4.0,,
125,,Impressora,Móveis de Escritório,5.0,1430.74,Dinheiro
126,2023-07-21,Notebook,Informática,2.0,3221.58,Boleto
127,2023-11-13,,Periféricos,8.0,4100.65,Dinheiro
128,2023-09-30,Cadeira Gamer,Periféricos,7.0,2122.21,Pix
129,2023-02-20,Monitor,Acessórios,,2008.81,Dinheiro
130,2023-08-19,Smartphone,Informática,9.0,4486.66,Crédito
131,2023-06-20,Monitor,Periféricos,7.0,4954.39,Boleto
132,2023-03-25,Impressora,Acessórios,4.0,3973.53,Crédito
133,2023-03-17,Notebook,,6.0,2331.99,Débito
134,2023-04-08,Cadeira Gamer,Informática,4.0,3280.46,Boleto
135,,Cadeira Gamer,Periféricos,6.0,,Débito
136,2023-08-30,Fone de Ouvido,Informática,6.0,3132.75,Débito
137,,Impressora,Periféricos,8.0,,Boleto
138,2023-12-06,Monitor,Móveis de Escritório,5.0,2584.49,Pix
139,2023-10-14,Notebook,Acessórios,3.0,2615.28,Dinheiro
140,,,Informática,8.0,3382.79,Crédito
141,2023-04-22,Mouse,Periféricos,5.0,2953.75,Débito
142,2023-11-19,Teclado,Informática,3.0,986.28,Dinheiro
143,2023-02-14,Teclado,Acessórios,9.0,4386.16,Pix
144,2023-02-10,Monitor,,7.0,1087.22,Crédito
145,2023-01-22,Impressora,Periféricos,9.0,2374.29,Dinheiro
146,2023-09-15,Mouse,Acessórios,4.0,1611.92,Pix
147,2023-08-22,Fone de Ouvido,Acessórios,4.0,2978.54,Crédito
148,2023-05-07,Smartphone,Periféricos,7.0,2492.83,Dinheiro
149,,Notebook,Informática,4.0,198.9,Débito
150,2023-11-27,Monitor,Informática,2.0,1313.25,Boleto
151,2023-11-14,Cadeira Gamer,Móveis de Escritório,3.0,2554.41,Dinheiro
152,2023-10-22,Monitor,Acessórios,9.0,743.99,
153,2023-10-26,Mouse,Acessórios,3.0,1083.09,Dinheiro
154,2023-01-28,Teclado,Acessórios,8.0,1121.36,Boleto
155,2023-12-01,Mouse,Acessórios,8.0,2492.81,Pix
156,2023-07-25,Fone de Ouvido,Móveis de Escritório,6.0,1894.59,Pix
157,2023-12-02,Notebook,Móveis de Escritório,1.0,4787.23,Dinheiro
158,2023-06-11,Cadeira Gamer,Acessórios,3.0,4949.69,Crédito
159,2023-10-21,Monitor,Informática,2.0,3265.34,Pix
160,2023-07-15,,Periféricos,1.0,,Crédito
161,2023-06-02,Smartphone,Acessórios,5.0,4388.34,Boleto
162,,Impressora,Periféricos,2.0,3835.69,Crédito
163,2023-01-14,,Acessórios,1.0,3232.42,Crédito
164,2023-11-22,Teclado,,4.0,1895.4,Dinheiro
165,2023-04-01,Teclado,Acessórios,1.0,779.12,Dinheiro
166,2023-07-30,Teclado,Acessórios,4.0,865.53,Dinheiro
167,2023-06-06,Notebook,Informática,1.0,2504.7,Boleto
168,2023-12-21,Notebook,Móveis de Escritório,1.0,2600.7,Débito
169,2023-02-12,Smartphone,Informática,1.0,3004.51,Dinheiro
170,2023-03-31,Fone de Ouvido,Acessórios,1.0,2178.22,Crédito
171,2023-06-13,Fone de Ouvido,,6.0,1851.87,Dinheiro
172,2023-09-11,Mouse,Informática,2.0,4726.78,Débito
173,2023-11-26,,Móveis de Escritório,9.0,1436.37,Boleto
174,2023-10-26,Teclado,Acessórios,3.0,2527.61,Boleto
175,2023-01-26,Monitor,Periféricos,6.0,851.74,Boleto
176,2023-04-20,Impressora,Informática,6.0,2451.81,Pix
177,2023-10-14,Impressora,Móveis de Escritório,7.0,258.7,Boleto
178,2023-01-29,Impressora,Móveis de Escritório,7.0,3304.04,Débito
179,2023-06-13,Notebook,Periféricos,5.0,2280.67,Dinheiro
180,2023-10-28,Impressora,Informática,8.0,4968.77,Dinheiro
181,2023-05-22,Smartphone,Móveis de Escritório,6.0,4753.78,Pix
182,2023-03-05,Smartphone,,7.0,607.85,Pix
